Time,C4,C12,RLU,OD,RLU_OD,Phase
0,0.5,0.5,11,0.097,113.40206185567,followup
0,0.5,0.5,21,0.091,230.769230769231,followup
0,0.5,0.5,13,0.087,149.425287356322,followup
0,0.5,1,61,0.13,469.230769230769,initial
0,0.5,1,66,0.129,511.627906976744,initial
0,0.5,1,67,0.131,511.450381679389,initial
0,0.5,1,62,0.131,473.282442748092,initial
0,0.5,1,87,0.131,664.12213740458,initial
0,0.5,2,62,0.13,476.923076923077,initial
0,0.5,2,68,0.129,527.131782945736,initial
0,0.5,2,80,0.13,615.384615384615,initial
0,0.5,2,73,0.131,557.251908396947,initial
0,0.5,2,72,0.132,545.454545454545,initial
0,0.5,3,64,0.128,500,initial
0,0.5,3,74,0.13,569.230769230769,initial
0,0.5,3,59,0.131,450.381679389313,initial
0,0.5,3,68,0.132,515.151515151515,initial
0,0.5,3,67,0.13,515.384615384615,initial
0,0.5,4,70,0.128,546.875,initial
0,0.5,4,83,0.128,648.4375,initial
0,0.5,4,69,0.129,534.883720930233,initial
0,0.5,4,69,0.13,530.769230769231,initial
0,0.5,4,66,0.13,507.692307692308,initial
0,0.5,5,73,0.13,561.538461538462,initial
0,0.5,5,80,0.132,606.060606060606,initial
0,0.5,5,80,0.132,606.060606060606,initial
0,0.5,5,61,0.131,465.648854961832,initial
0,0.5,5,66,0.128,515.625,initial
0,1,0,39,0.13,300,initial
0,1,0,35,0.135,259.259259259259,initial
0,1,0,47,0.132,356.060606060606,initial
0,1,0,38,0.131,290.076335877863,initial
0,1,0,42,0.13,323.076923076923,initial
0,1,0.1,72,0.131,549.618320610687,initial
0,1,0.1,61,0.129,472.868217054264,initial
0,1,0.1,62,0.129,480.62015503876,initial
0,1,0.1,77,0.128,601.5625,initial
0,1,0.1,68,0.13,523.076923076923,initial
0,1,0.5,64,0.132,484.848484848485,initial
0,1,0.5,64,0.133,481.203007518797,initial
0,1,0.5,75,0.134,559.701492537313,initial
0,1,0.5,61,0.134,455.223880597015,initial
0,1,0.5,74,0.131,564.885496183206,initial
0,1,1,72,0.13,553.846153846154,initial
0,1,1,69,0.13,530.769230769231,initial
0,1,1,67,0.129,519.37984496124,initial
0,1,1,70,0.128,546.875,initial
0,1,1,74,0.131,564.885496183206,initial
0,1,2,84,0.131,641.221374045802,initial
0,1,2,67,0.132,507.575757575758,initial
0,1,2,67,0.153,437.908496732026,initial
0,1,2,66,0.13,507.692307692308,initial
0,1,2,67,0.132,507.575757575758,initial
0,1,3,69,0.134,514.925373134328,initial
0,1,3,67,0.132,507.575757575758,initial
0,1,3,70,0.133,526.315789473684,initial
0,1,3,73,0.131,557.251908396947,initial
0,1,3,69,0.131,526.717557251908,initial
0,1,4,77,0.131,587.786259541985,initial
0,1,4,72,0.13,553.846153846154,initial
0,1,4,70,0.131,534.351145038168,initial
0,1,4,78,0.13,600,initial
0,1,4,72,0.131,549.618320610687,initial
0,1,5,85,0.13,653.846153846154,initial
0,1,5,75,0.13,576.923076923077,initial
0,1,5,70,0.131,534.351145038168,initial
0,1,5,84,0.131,641.221374045802,initial
0,1,5,85,0.13,653.846153846154,initial
0,2,0,51,0.128,398.4375,initial
0,2,0,57,0.125,456,initial
0,2,0,43,0.129,333.333333333333,initial
0,2,0,53,0.135,392.592592592593,initial
0,2,0,54,0.13,415.384615384615,initial
0,2,0.1,94,0.129,728.682170542636,initial
0,2,0.1,88,0.124,709.677419354839,initial
0,2,0.1,76,0.122,622.950819672131,initial
0,2,0.1,93,0.123,756.09756097561,initial
0,2,0.1,92,0.131,702.290076335878,initial
0,2,0.5,53,0.127,417.322834645669,initial
0,2,0.5,32,0.137,233.576642335766,initial
0,2,0.5,55,0.141,390.070921985816,initial
0,2,0.5,48,0.141,340.425531914894,initial
0,2,0.5,55,0.134,410.44776119403,initial
0,2,1,46,0.143,321.678321678322,initial
0,2,1,51,0.141,361.702127659575,initial
0,2,1,49,0.139,352.517985611511,initial
0,2,1,45,0.13,346.153846153846,initial
0,2,1,55,0.121,454.545454545455,initial
0,2,2,85,0.127,669.291338582677,initial
0,2,2,75,0.137,547.445255474453,initial
0,2,2,91,0.136,669.117647058824,initial
0,2,2,79,0.152,519.736842105263,initial
0,2,2,87,0.135,644.444444444444,initial
0,2,3,86,0.131,656.488549618321,initial
0,2,3,79,0.134,589.55223880597,initial
0,2,3,76,0.13,584.615384615385,initial
