c4,c12,rlu_od
0,5,60372.551
0,5,57367.715
.1,0,2791.9321
.1,0,2631.1301
.1,0,2861.4719
.1,0,2719.2224
.1,0,2842.6724
.1,0,2718.261
.1,0,2977.1929
.1,0,2931.6548
.1,0,2899.4614
.1,0,2926.5735
.1,0,3279.8013
.1,0,3299.0654
.1,0,3348.6089
.1,0,3089.8877
.1,0,3650.2385
.1,.1,67161.828
.1,.1,76114.055
.1,.1,74044.898
.1,.1,74233.609
.1,.1,79888.656
.1,.1,75845.891
.1,.1,72824.617
.1,.1,77922.008
.1,.1,69346.867
.1,.1,72064.625
.1,.1,62688.086
.1,.1,63900.473
.1,.1,58634.293
.1,.1,56435.977
.1,.1,58238.094
.1,.5,88410.039
.1,.5,90168.047
.1,.5,105499
.1,.5,91106.609
.1,.5,88221.984
.1,.5,94439.391
.1,.5,95598.258
.1,.5,100246.71
.1,.5,94428.82
.1,.5,98713.273
.1,.5,76224.063
.1,.5,79164.445
.1,.5,77359.133
.1,.5,80273.602
.1,.5,78350.547
.1,1,103103.59
.1,1,111658.99
.1,1,102691.49
.1,1,105791.49
.1,1,97491.492
.1,1,105052.36
.1,1,106153.58
.1,1,104267.95
.1,1,108412.27
.1,1,104905.43
.1,1,82889.578
.1,1,84547.141
.1,1,84175.742
.1,1,83154.203
.1,1,82598.203
.1,2,97915.742
.1,2,107142.55
.1,2,125199.2
.1,2,101072.85
.1,2,98441.445
.1,2,107960.27
.1,2,110526.03
.1,2,108572.94
.1,2,109431.62
.1,2,110967.43
.1,2,87454.961
.1,2,88124.266
.1,2,91372.203
.1,2,90215.531
.1,2,88895.641
.1,3,101713.32
.1,3,106861.84
.1,3,120334.7
.1,3,106711.41
.1,3,104434.98
.1,3,115568.99
.1,3,112555.16
.1,3,115020.04
.1,3,113603.26
.1,3,113139.04
.1,3,95996.758
.1,3,95757.672
.1,3,94786.625
.1,3,94104.836
.1,3,95342.531
.1,4,137595.05
.1,4,117271.72
.1,4,119458.91
.1,4,129240.62
.1,4,118280.55
.1,4,121276.27
.1,4,119809.44
.1,4,117800
.1,4,122027.92
.1,4,119843.14
.1,4,101555.73
.1,4,95224.703
.1,4,101242.72
.1,4,101636.07
.1,4,100619.9
.1,5,119459.4
.1,5,116163.27
.1,5,117655.63
.1,5,119742.42
.1,5,128760.35
.1,5,123946.3
.1,5,123072.31
.1,5,123882.67
.1,5,123367.95
.1,5,122160.78
.1,5,98747.32
.1,5,104732.46
.1,5,101926.22
.1,5,103465.23
.1,5,104813.62
.5,0,4309.5723
.5,0,4492.0947
.5,0,4415.7783
.5,0,4741.0356
.5,0,4683.0708
.5,0,4597.0635
.5,0,4216.4429
.5,0,4543.3716
.5,0,4158.7837
.5,0,4810.9453
.5,0,5655.2261
.5,0,5320.7549
.5,0,5264.6152
.5,0,5600.6191
.5,0,5087.9121
.5,.1,110577.07
.5,.1,122711.65
.5,.1,113846.01
.5,.1,127204.2
.5,.1,119888.68
.5,.1,96964.672
.5,.1,91898.914
.5,.1,100621.66
.5,.1,95785.711
.5,.1,87742.992
.5,.1,72742.422
.5,.1,70085.469
.5,.1,72429.766
.5,.1,74920.836
.5,.1,71627.477
.5,.5,108471.58
.5,.5,111247.45
.5,.5,105719.91
.5,.5,104261.05
.5,.5,107595.39
