c4,c12,rlu_od
5,3,105709.4
5,3,105943.02
5,3,106687.5
5,3,107898.02
5,3,129694.15
5,3,139137.72
5,3,142695.94
5,3,140891.03
5,3,138748.41
5,3,158427.7
5,3,111544.33
5,3,121770.98
5,3,114239.29
5,3,117353.05
5,3,110671.93
5,4,157955.06
5,4,145880.34
5,4,149250.72
5,4,143620.3
5,4,145903.41
5,4,166511.16
5,4,168274.19
5,4,166536.08
5,4,167687.88
5,4,178262.39
5,4,126927.8
5,4,127842.1
5,4,129160.36
5,4,131641.17
5,4,130843.24
5,5,128742.78
5,5,132074.86
5,5,156063.83
5,5,137997.3
5,5,131686.53
5,5,151086
5,5,161354.66
5,5,153376.23
5,5,151820.92
5,5,153965.94
5,5,123076.26
5,5,123655.54
5,5,125146.64
5,5,123809.61
5,5,123595.45
