c4,c12,rlu_od
1,2,26220.137
1,2,26464.957
1,2,26080.479
1,2,22348.367
1,2,22451.713
1,2,24497.682
1,2,22267.188
1,2,23078.004
1,3,21074.83
1,3,20403.189
1,3,20332.574
1,3,24951.328
1,3,29108.051
1,3,28781.412
1,3,33802.699
1,3,29169.258
1,3,29382.1
1,3,30934.369
1,3,24110.764
1,3,24035.994
1,3,25081.377
1,3,25840.125
1,3,27383.668
1,4,32129.754
1,4,30037.559
1,4,31638.826
1,4,35679.633
1,4,32721.578
1,4,36964.664
1,4,36859.43
1,4,36442.68
1,4,39764.168
1,4,37189.965
1,4,31332.227
1,4,29438.596
1,4,30059.486
1,4,29424.242
1,4,30025.932
1,5,38868.086
1,5,33816.191
1,5,33173.246
1,5,34771.43
1,5,34375.555
1,5,42179
1,5,40174.602
1,5,39622.145
1,5,41391.535
1,5,39982.363
1,5,33074.602
1,5,33127.625
1,5,32828.844
1,5,32433.813
1,5,33605.305
2,0,1749.4357
2,0,1522.2222
2,0,1543.6241
2,0,1584.6154
2,0,1577.1812
2,0,1628.6837
2,0,1664.0776
2,0,1642.5781
2,0,1701.9231
2,0,1636.8932
2,0,1705.6604
2,0,1628.7313
2,0,1839.0151
2,0,1680.8905
2,0,1782.8572
2,.1,11051.613
2,.1,11475.269
2,.1,12352.941
2,.1,11322.581
2,.1,11706.638
2,.1,13122.807
2,.1,14489.437
2,.1,13022.688
2,.1,13330.435
2,.1,13195.463
2,.1,13207.278
2,.1,12241.81
2,.1,12133.021
2,.1,12311.912
2,.1,12278.997
2,.5,16929.637
2,.5,17272.537
2,.5,20464.135
2,.5,17727.66
2,.5,18248.928
2,.5,20779.896
2,.5,19786.207
2,.5,19481.293
2,.5,22775.086
2,.5,20010.291
2,.5,18021.473
2,.5,17900.93
2,.5,19170.016
2,.5,18147.516
2,.5,17352.135
2,1,19686.193
2,1,19312.236
2,1,19532.225
2,1,19576.271
2,1,20699.17
2,1,22710.617
2,1,23296.422
2,1,22647.863
2,1,22119.047
2,1,23236.707
2,1,20420.891
2,1,19608.629
2,1,19871.914
2,1,19821.813
2,1,19778.98
2,2,29313.596
2,2,24367.742
2,2,27101.512
2,2,25613.537
2,2,32422.176
2,2,34771.277
2,2,30724.258
2,2,30162.912
2,2,32169.611
2,2,30747.387
2,2,26654.631
2,2,25787.402
2,2,26315.457
2,2,27031.646
2,2,28443.381
2,3,25056.645
2,3,24582.252
2,3,26075.107
2,3,25403.93
2,3,28424.117
2,3,31763.793
2,3,30942.408
2,3,30944.541
2,3,30993.008
2,3,30984.348
2,3,27051.643
2,3,26516.641
2,3,26112.342
2,3,26637.795
2,3,26048.973
2,4,39008.871
2,4,29529.279
2,4,28055.311
2,4,33787.473
2,4,31321.662
2,4,36443.66
2,4,44049.543
2,4,34709.508
2,4,36048.215
2,4,38661.844
2,4,34160.656
2,4,29890.127
2,4,31059.486
2,4,30859.873
2,4,31762.52
2,5,30824.445
2,5,29977.826
