C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
0.896,45326.0535636062,53368.512212915,109263.842066199,112691.319233884,113929.170250713,114567.672085688,114957.27689386
0.9,45450.2533782677,53378.7488501681,109274.078703452,112701.555871137,113939.406887966,114577.908722941,114967.513531113
0.904,45574.0564638103,53388.9527887244,109284.282642008,112711.759809694,113949.610826522,114588.112661498,114977.71746967
0.908,45697.4647180992,53399.1241850073,109294.454038291,112721.931205977,113959.782222805,114598.28405778,114987.888865953
0.912,45820.4800269137,53409.2631944441,109304.593047728,112732.070215413,113969.921232242,114608.423067217,114998.027875389
0.916,45943.1042640432,53419.369971474,109314.699824758,112742.176992443,113980.028009272,114618.529844247,115008.134652419
0.92,46065.3392913822,53429.4446695554,109324.774522839,112752.251690525,113990.102707353,114628.604542329,115018.209350501
0.924,46187.1869590247,53439.4874411746,109334.817294458,112762.294462144,114000.145478972,114638.647313948,115028.25212212
0.928,46308.6491053571,53449.4984378526,109344.828291136,112772.305458822,114010.15647565,114648.658310626,115038.263118798
0.932,46429.7275571515,53459.4778101533,109354.807663437,112782.284831122,114020.135847951,114658.637682926,115048.242491099
0.936,46550.4241296564,53469.4257076907,109364.755560974,112792.23272866,114030.083745488,114668.585580464,115058.190388636
0.94,46670.7406266881,53479.3422791367,109374.67213242,112802.149300106,114040.000316934,114678.50215191,115068.106960082
0.944,46790.67884072,53489.2276722283,109384.557525512,112812.034693197,114049.885710026,114688.387545001,115077.992353174
0.948,46910.2405529721,53499.0820337747,109394.411887058,112821.889054744,114059.740071572,114698.241906548,115087.84671472
0.952,47029.4275334988,53508.9055096653,109404.235362949,112831.712530635,114069.563547463,114708.065382438,115097.670190611
0.956,47148.2415412764,53518.6982448761,109414.02809816,112841.505265845,114079.356282674,114717.858117649,115107.462925821
0.96,47266.6843242899,53528.4603834771,109423.790236761,112851.267404446,114089.118421275,114727.62025625,115117.225064422
0.964,47384.7576196181,53538.1920686398,109433.521921924,112860.999089609,114098.850106438,114737.351941413,115126.956749585
0.968,47502.4631535192,53547.8934426435,109443.223295927,112870.700463613,114108.551480441,114747.053315417,115136.658123589
0.972,47619.8026415144,53557.5646468828,109452.894500167,112880.371667852,114118.222684681,114756.724519656,115146.329327828
0.976,47736.7777884715,53567.205821874,109462.535675158,112890.012842843,114127.863859672,114766.365694647,115155.970502819
0.98,47853.3902886875,53576.8171072622,109472.146960546,112899.624128231,114137.47514506,114775.976980035,115165.581788207
0.984,47969.6418259702,53586.3986418283,109481.728495112,112909.205662797,114147.056679626,114785.558514601,115175.163322774
0.988,48085.5340737196,53595.9505634949,109491.280416779,112918.757584464,114156.608601293,114795.110436268,115184.71524444
0.992,48201.0686950077,53605.4730093336,109500.802862617,112928.280030303,114166.131047131,114804.632882107,115194.237690279
0.996,48316.2473426586,53614.9661155715,109510.295968855,112937.773136541,114175.624153369,114814.125988345,115203.730796517
1,48431.0716593267,53624.4300175971,109519.759870881,112947.237038566,114185.088055395,114823.58989037,115213.194698542
1.004,48545.5432775754,53633.8648499677,109529.194703251,112956.671870937,114194.522887765,114833.024722741,115222.629530913
1.008,48659.663819954,53643.2707464148,109538.600599699,112966.077767384,114203.928784213,114842.430619188,115232.03542736
1.012,48773.4348990749,53652.6478398511,109547.977693135,112975.45486082,114213.305877649,114851.807712624,115241.412520796
1.016,48886.8581176888,53661.9962623764,109557.32611566,112984.803283346,114222.654300174,114861.15613515,115250.760943322
1.02,48999.9350687606,53671.3161452841,109566.645998568,112994.123166253,114231.974183082,114870.476018057,115260.080826229
1.024,49112.6673355438,53680.6076190671,109575.937472351,113003.414640036,114241.265656865,114879.76749184,115269.372300012
1.028,49225.0564916544,53689.8708134238,109585.200666708,113012.677834393,114250.528851222,114889.030686197,115278.635494369
1.032,49337.1041011437,53699.1058572646,109594.435710548,113021.912878234,114259.763895062,114898.265730038,115287.87053821
1.036,49448.8117185718,53708.3128787174,109603.642732001,113031.119899687,114268.970916515,114907.472751491,115297.077559663
1.04,49560.1808890784,53717.4920051336,109612.821858417,113040.299026103,114278.150042931,114916.651877907,115306.256686079
1.044,49671.2131484549,53726.6433630943,109621.973216378,113049.450384064,114287.301400892,114925.803235867,115315.40804404
1.048,49781.9100232145,53735.7670784159,109631.0969317,113058.574099385,114296.425116214,114934.926951189,115324.531759361
1.052,49892.2730306624,53744.8632761557,109640.193129439,113067.670297125,114305.521313953,114944.023148929,115333.627957101
1.056,50002.3036789651,53753.9320806178,109649.261933902,113076.739101587,114314.590118415,114953.091953391,115342.696761563
1.06,50112.0034672188,53762.9736153588,109658.303468643,113085.780636328,114323.631653157,114962.133488132,115351.738296304
1.064,50221.373885518,53771.9880031934,109667.317856477,113094.795024163,114332.646040991,114971.147875967,115360.752684139
1.068,50330.4164150225,53780.9753661998,109676.305219484,113103.782387169,114341.633403998,114980.135238973,115369.740047145
