N,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
0.048,0.00179708820570529,0.0011047535851076,0.0493371698367819,0.0011047535851076,0.0712643580763368,0.0320452171014337,0.00192608617395201,0.00131634583124515,0.0495731461994737,0.00131634583124515,1707.93579790449,1708.84014549395,1724.31016396206,1728.35570874529,2424.97813388819
0.05,0.00187243571899461,0.00115901416456965,0.0514682412858244,0.00115901416456965,0.074979347524248,0.0336335891535801,0.00201289206380919,0.00139399162425012,0.0517406050255423,0.00139399162425012,1708.18437725647,1709.1979583069,1725.9541228225,1730.57949498755,2483.35911013976
0.052,0.00194782093743856,0.00121405162580207,0.053606149789418,0.00121405162580207,0.0787338277276858,0.0352377023756218,0.0021002659832927,0.00147423963145499,0.0539190765910591,0.00147423963145499,1708.4391578455,1709.57172906801,1727.66340149272,1732.93040349956,2543.66780759834
0.054,0.00202324388398541,0.00126988211531819,0.0557510036689881,0.00126988211531819,0.0825261595361838,0.0368574786683942,0.00218821342406244,0.00155721885190994,0.0561090247210969,0.00155721885190994,1708.70026871493,1709.96228691465,1729.43859186711,1735.41401973947,2605.85112687774
0.056,0.00209870458159673,0.00132652221084187,0.0579029138108094,0.00132652221084187,0.0863547771076079,0.0384928351450007,0.00227673994744395,0.00164306666532194,0.0583109410949852,0.00164306666532194,1708.96784238085,1710.37051560087,1731.28032366927,1738.03633454556,2669.85563457761
0.058,0.00217420305324731,0.00138398893508252,0.0600619937351364,0.00138398893508252,0.0902181841609415,0.0401436839821932,0.00236585118551408,0.00173192949763814,0.0605253472537847,0.00173192949763814,1709.24201494394,1710.79735787601,1733.18926497482,1740.80377665188,2735.62774170312
0.06,0.00224973932192524,0.00144229977000929,0.0622283596673281,0.00144229977000929,0.0941149504808972,0.0418099323666706,0.00245555284220664,0.00182396354817534,0.0627527967723721,0.00182396354817534,1709.52292620558,1711.24382027219,1735.16612278077,1743.72324836171,2803.11386110513
0.062,0.00232531341063185,0.00150147267164413,0.0644021306110182,0.00150147267164413,0.098043708650965,0.043491482513508,0.00254585069443836,0.00191933558465421,0.0649938776105378,0.00191933558465421,1709.81071978808,1711.71097834378,1737.21164362238,1746.80216471656,2872.2605460404
0.064,0.00240092534238175,0.00156152608539382,0.0665834284233853,0.00156152608539382,0.102003150994179,0.0451882317396061,0.00263675059325558,0.00201822381319891,0.0672492146587039,0.00201822381319891,1710.10554325948,1712.19998240636,1739.32661423795,1750.04849653731,2943.01461177542
0.066,0.0024765751402028,0.00162247896194216,0.068772377892576,0.00162247896194216,0.105992026703221,0.0469000725791817,0.00272825846500223,0.00212081883114224,0.069519472495136,0.00212081883114224,1710.40754826285,1712.71206382813,1741.51186228247,1753.47081775783,3015.32324198796
0.068,0.00255226282713617,0.00168435077372424,0.0709691068173368,0.00168435077372424,0.110009139143546,0.0486268929313543,0.00282038031250932,0.00222732467134071,0.0718053583728428,0.00222732467134071,1710.71689065044,1713.24854193292,1743.76825709093,1757.07835752017,3089.13408156096
0.07,0.00262798842623627,0.00174716153200551,0.0731737460889082,0.00174716153200551,0.114053343314971,0.050368576232132,0.00291312221630668,0.00233795994766,0.074107625455717,0.00233795994766,1711.03373062281,1713.81083158021,1746.09671049222,1760.88105755497,3164.39531721304
0.072,0.0027037519605708,0.00181093180458918,0.0753864297752366,0.00181093180458918,0.118123543458793,0.0521250016447822,0.00300649033585714,0.00245295911234664,0.0764270763248417,0.00245295911234664,1711.35823287313,1714.40045149531,1748.49817767467,1764.88963543084,3241.05574727044
0.074,0.00277955345322074,0.00187568273417675,0.0776072952075575,0.00187568273417675,0.122218690798842,0.05389604426384,0.00310049091081383,0.00257257383716311,0.0787645667772404,0.00257257383716311,1711.69056673691,1715.01903343067,1750.97365810442,1769.11565432406,3319.06484175597
