M,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
0.79,0.022325014972168,0.282833902106614,1.20005793283442,0.282833902106614,1.26991346106878,0.830135876136437,0.101447079533459,0.740932985200763,1.26510598967236,0.740932985200763,3860.72893685292,10724.9053896363,14473.2076575978,22642.7197298543,23592.2492619778
0.8,0.0221920223767345,0.280835276509363,1.19256378601307,0.280835276509363,1.26251768910917,0.826313153212817,0.0992414182136108,0.737044899304458,1.25768897932202,0.737044899304458,3842.72412540639,10597.5907797686,14406.0839479956,22582.5942397156,23537.653077606
0.81,0.0220606033626764,0.278853048191414,1.18515095663314,0.278853048191414,1.25520452768439,0.822521814028555,0.0971141438941859,0.733187850170873,1.25035447733847,0.733187850170873,3824.90571216783,10473.0877439158,14339.2243175256,22522.6397496787,23483.2374879773
0.82,0.0219307301925629,0.276887025766269,1.17781808524422,0.276887025766269,1.24797260682748,0.818761481573101,0.095061890772617,0.729361468518765,1.24310111405829,0.729361468518765,3807.27092388986,10351.3413665857,14272.6277030114,22462.8555565691,23429.0017025974
0.83,0.0218023757764532,0.27493702090993,1.17056384219268,0.27493702090993,1.24082058661525,0.815031784823851,0.0930814365604743,0.725565390906294,1.23592754985246,0.725565390906294,3789.81704372081,10232.2953697111,14206.2930503211,22403.2409620265,23374.9449359882
0.84,0.0216755136531298,0.27300284830098,1.1633869268113,0.27300284830098,1.23374715635051,0.811332358627973,0.0911696985974395,0.721799259616086,1.22883247430873,0.721799259616086,3772.54140976707,10115.892449054,14140.2193142888,22343.795272453,23321.0664076383
0.85,0.0215501179719801,0.271084325562077,1.15628606663525,0.271084325562077,1.22675103377073,0.807662843587022,0.0893237296979656,0.718062722542987,1.22181460544065,0.718062722542987,3755.44141369972,10002.0745789884,14074.405458637,22284.5177989625,23267.3653419549
0.86,0.0214261634755005,0.26918127320283,1.14926001664341,0.26918127320283,1.21983096428238,0.80402288594426,0.0875407137969653,0.714355433084461,1.214872688922,0.714355433084461,3738.51449940382,9890.78328705456,14008.8504559008,22225.4078573303,23213.8409682152
0.87,0.0213036254823987,0.267293514564003,1.14230755852408,0.267293514564003,1.21298572021976,0.800412137474607,0.0858179614533594,0.710677050033534,1.20800549734594,0.710677050033534,3721.75816166894,9781.95989985432,13943.5532873535,22166.4647679435,23160.4925205198
0.88,0.0211824798712684,0.265420875763025,1.13542749996416,0.265420875763025,1.20621410012759,0.79683025537716,0.0841529052631442,0.707027237474242,1.20121182950771,0.707027237474242,3705.16994491932,9675.54576198421,13878.5129429329,22107.6878557528,23107.3192377461
0.89,0.0210627030648173,0.263563185640761,1.12861867396095,0.263563185640761,1.19951492806629,0.793276902170202,0.0825430952268952,0.703405664679488,1.1944905097102,0.703405664679488,3688.74744198231,9571.48242976976,13813.7284211697,22049.0764502242,23054.3203635019
0.9,0.0209442720146237,0.261720275709521,1.12187993815568,0.261720275709521,1.19288705293933,0.789751745588637,0.0809861941103665,0.699812006011266,1.18784038709145,0.699812006011266,3672.48829289384,9469.71184159434,13749.1987291168,21990.6298852917,23001.4951460809
0.91,0.0208271641864023,0.259891980102261,1.11521017418813,0.259891980102261,1.18632934784165,0.78625445848379,0.0794799728310966,0.696245940823169,1.18126033497327,0.696245940823169,3656.39018373948,9370.17646660948,13684.9228822793,21932.3474993109,22948.8428384173
0.92,0.0207113575457599,0.258078135522954,1.10860828707132,0.258078135522954,1.17984070942853,0.782784718725498,0.0780223058987099,0.692707153365143,1.17474925023028,0.692707153365143,3640.45084552989,9272.81943358026,13620.899904547,21874.2286350131,22896.3626980427
0.93,0.0205968305444215,0.256278581198092,1.10207320458581,0.256278581198092,1.17342005730401,0.779342209106442,0.0766111669318982,0.689195332690396,1.16830605267856,0.689195332690396,3624.66805310956,9177.58464156548,13557.1288281268,21816.2726394602,22844.0539870416
0.94,0.0204835621069087,0.254493158829301,1.09560387669269,0.254493158829301,1.16706633342835,0.775926617248658,0.0752446242708634,0.685710172564443,1.1619296844832,0.685710172564443,3609.03962409757,9084.41685406233,13493.6086934767,21758.4788639996,22791.9159720096
0.95,0.0203715316176539,0.252721712547021,1.08919927496468,0.252721712547021,1.16077850154365,0.772537635512162,0.073920836700283,0.682251371376195,1.15561910958414,0.682251371376195,3593.56341785933,8993.26177816455,13430.3385492417,21700.8466642211,22739.9479240105
0.96,0.020260718908533,0.250964088865246,1.08285839203478,0.250964088865246,1.15455554661713,0.769174960905646,0.0726380492945838,0.678818632051058,1.14937331313961,0.678818632051058,3578.23733450825,8904.06613019436,13367.3174521891,21643.3753999132,22688.1491185349
0.97,0.020151104246801,0.24922013663727,1.07658024106164,0.24922013663727,1.14839647430133,0.765838294999178,0.0713945893944555,0.675411661965989,1.1431913009865,0.675411661965989,3563.05931393628,8816.77768917621,13304.5444671468,21586.0644350202,22636.5188354592
0.98,0.0200426683234164,0.247489707012444,1.07036385521121,0.247489707012444,1.14230031041075,0.762527343838862,0.0701888627210634,0.672030172866447,1.13707209911712,0.672030172866447,3548.02733487241,8731.34533942552,13242.0186669412,21528.9131376007,22585.0563590047
0.99,0.0199353922417376,0.245772653393879,1.06420828715414,0.245772653393879,1.13626610041424,0.759241817863404,0.0690193496322905,0.668673880785204,1.13101475317173,0.668673880785204,3533.13941396811,8647.71910343156,13179.7391323372,21471.9208797858,22533.7609776982
1,0.0198292575065806,0.244068831397114,1.05811260857815,0.244068831397114,1.13029290894265,0.755981431822535,0.0678846015235315,0.665342505962953,1.12501832794638,0.665342505962953,3518.39360490887,8565.85016612083,13117.704951978,21415.0870377384,22482.6319843319
1.01,0.0197242460136217,0.242378098809685,1.05207590971514,0.242378098809685,1.12437981931116,0.752745904697241,0.0667832373740249,0.662035772770677,1.11908190691537,0.662035772770677,3503.78799755098,8485.69089149761,13055.9152223275,21358.410991613,22431.6686759248
1.02,0.0196203400391344,0.240700315551594,1.04609729888232,0.240700315551594,1.11852593305589,0.749534959621761,0.0657139404384323,0.658753409633732,1.11320459176795,0.658753409633732,3489.3207170826,8407.19483257236,12994.3690476121,21301.8921255157,22380.8703536843
1.03,0.0195175222300482,0.239035343636654,1.04017590203695,0.239035343636654,1.11273036948416,0.746348323807291,0.0646754550823048,0.655495148957596,1.10738550195874,0.655495148957596,3474.9899232085,8330.3167354069,12933.0655397644,21245.5298274654,22330.2363229681
1.04,0.019415775594316,0.237383047134679,1.03431086234423,0.237383047134679,1.10699226523796,0.743185728467377,0.0636665837592127,0.652260727055245,1.10162377427139,0.652260727055245,3460.79380935754,8255.01253802843,12872.0038183678,21189.323489355,22279.7658932471
1.05,0.0193150834915813,0.235743292134498,1.02850133975788,0.235743292134498,1.10131077387035,0.74004690874492,0.0626861841266094,0.649049884076115,1.09591856239497,0.649049884076115,3446.73060191219,8181.23936489213,12811.1830106012,21133.2725069134,22229.4583780679
1.06,0.0192154296241327,0.234115946707783,1.02274651061296,0.234115946707783,1.09568506543404,0.736931603640787,0.0617331662969446,0.645862363936603,1.09026903651279,0.645862363936603,3432.79855945943,8108.9555175053,12750.6022511857,21077.3762796682,22179.3130950172
