C12,LasIPlus,LasI(C4=0),LasI(C4=0.4),LasI(C4=0.8),LasI(C4=1.2),LasI(C4=1.6),LasI(C4=2)
0.288,67267.2350727281,35489.2186441696,86561.9227250711,88132.6256965496,89094.0461986893,89754.0463266941,90236.9256840494
0.292,67675.1404965404,35699.5174636335,86772.221544535,88342.9245160134,89304.3450181531,89964.345146158,90447.2245035133
0.296,68076.9202712982,35906.658156999,86979.3622379005,88550.0652093789,89511.4857115186,90171.4858395235,90654.3651968788
0.3,68472.711354941,36110.7113339989,87183.4154149005,88754.1183863789,89715.5388885186,90375.5390165235,90858.4183738788
0.304,68862.6466527838,36311.745515004,87384.4495959055,88955.1525673839,89916.5730695236,90576.5731975285,91059.4525548838
0.308,69246.8551663138,36509.827207736,87582.5312886376,89153.234260116,90114.6547622557,90774.6548902606,91257.5342476159
0.312,69625.4621354799,36705.0209806265,87777.7250615281,89348.4280330065,90309.8485351462,90969.8486631511,91452.7280205064
0.316,69998.5891748031,36897.3895329893,87970.0936138909,89540.7965853693,90502.217087509,91162.2172155139,91645.0965728692
0.32,70366.3544036193,37086.9937621684,88159.69784307,89730.4008145484,90691.8213166881,91351.821444693,91834.7008020483
0.324,70728.8725707476,37273.8928278116,88346.5969087131,89917.2998801916,90878.7203823313,91538.7205103361,92021.5998676914
0.328,71086.2551738604,37458.1442134125,88530.8482943141,90101.5512657925,91062.9717679322,91722.9718959371,92205.8512532923
0.332,71438.6105738156,37639.8037852558,88712.5078661573,90283.2108376357,91244.6313397754,91904.6314677803,92387.5108251356
0.336,71786.0441041977,37818.9258488917,88891.6299297932,90462.3329012716,91423.7534034113,92083.7535314162,92566.6328887715
0.34,72128.6581763014,37995.563203261,89068.2672841625,90638.9702556409,91600.3907577807,92260.3908857855,92743.2702431408
0.344,72466.5523797748,38169.7671925829,89242.4712734844,90813.1742449629,91774.5947471026,92434.5948751074,92917.4742324627
0.348,72799.823579133,38341.5877561128,89414.2918370143,90984.9948084927,91946.4153106325,92606.4154386373,93089.2947959926
0.352,73128.5660063364,38511.0734758721,89583.7775567737,91154.4805282521,92115.9010303918,92775.9011583966,93258.7805157519
0.356,73452.8713496206,38678.2716224452,89750.9757033467,91321.6786748251,92283.0991769648,92943.0993049697,93425.978662325
0.36,73772.828838754,38843.2281989341,89915.9322798357,91486.6352513141,92448.0557534538,93108.0558814587,93590.935238814
0.364,74088.525326888,39005.9879831581,90078.6920640596,91649.3950355381,92610.8155376778,93270.8156656826,93753.6950230379
0.368,74400.0453691604,39166.5945681771,90239.2986490786,91810.001620557,92771.4221226967,93431.4222507016,93914.3016080569
0.372,74707.4712981979,39325.0904012183,90397.7944821198,91968.4974535983,92929.917955738,93589.9180837429,94072.7974410982
